2018 SOC Code,Description
11-1011,Admiral
11-1011,Board chairman
11-1011,Board member
11-1011,Bureau chief
11-1011,CEO (chief executive officer)
11-1011,CFO (chief financial officer)
11-1011,Chairman of the board
11-1011,Chancellor
11-1011,Chief executive officer (CEO)
11-1011,Chief financial officer (CFO)
11-1011,Chief information officer (CIO)
11-1012,Chief of Staff
11-1011,Chief operating officer
11-1011,Chief operating officer (COO)
11-1011,CIO (chief information officer)
11-1011,CISO (Chief information security officer)
11-1011,City superintendent
11-1011,City superintendent of schools
11-1011,College president
11-1011,Commissioner of internal revenue
11-1011,COO (Chief Operating Officer)
11-1011,Corporation officer
11-1011,County administrator
11-1011,County commissioner
11-1011,County superintendent of schools
11-1012,CTO (Chief Technology Officer)
11-1011,Governor
11-1011,Health commissioner
11-1011,Highway commissioner
11-1011,Insurance commissioner
11-1011,Labor commissioner
11-1011,Lieutenant governor
11-1011,Liquor commissioner
11-1011,Manager city
11-1011,Manager president
11-1011,Manager vice president
11-1011,Mayor
11-1011,President
11-1011,Railroad commissioner
11-1011,Road commissioner
11-1011,School commissioner
11-1011,School superintendent
11-1011,Secretary of state
11-1011,State superintendent of public instruction
11-1011,State superintendent of schools
11-1011,Superintendent schools
11-1011,Supervisor city
11-1011,Supervisor county
11-1011,Supervisor township
11-1011,Tax commissioner
11-1011,University president
11-1011,US commissioner
11-1011,Veep (vice president)
11-1011,Vice chancellor
11-1011,Vice president
11-1011,VP (Vice President)
11-1011,Water commissioner
11-1021,Adjutant general
11-1021,Business administrator
11-1021,Chief deputy exc police and sheriff
11-1022,Chief of Staff
11-1021,Department store manager
11-1021,District commercial superintendent
11-1021,District plant superintendent
11-1021,District traffic chief
11-1021,District wire chief
11-1021,Division toll wire chief
11-1021,Division traffic superintendent
11-1021,Electrical superintendent
11-1021,General superintendent
11-1021,Installation superintendent\ ns
11-1021,Lease operator
11-1021,Manager brokerage office
11-1021,Manager department store
11-1021,Manager district
11-1021,Manager field party
11-1021,Manager general
11-1021,Manager general operations
11-1021,Manager industrial organization
11-1021,Manager operational risk
11-1021,Manager operations
11-1021,Manager radio station
11-1021,Manager television station
11-1021,Manager\ ns
11-1021,Mine superintendent
11-1021,Oil lease operator
11-1021,Oil operator
11-1021,Oil producer
11-1021,Operational risk manager
11-1021,Park superintendent
11-1021,Producer
11-1021,Refinery superintendent
11-1021,Relocation commissioner
11-1021,Revenue director
11-1021,Shift superintendent\ ns
11-1021,Shop superintendent
11-1021,Social insurance administrator
11-1021,Street commissioner
11-1021,Street superintendent
11-1021,Substation superintendent
11-1021,Superintendent drilling and production
11-1021,Superintendent laundry
11-1021,Superintendent line construction
11-1021,Superintendent maintenance of equipment
11-1021,Superintendent roads
11-1021,Superintendent\ ns
11-1021,Supervisor mine administrator
11-1021,Supervisor operations
11-1021,Supervisor plant
11-1021,Supervisor water and sewer systems
11-1021,Supervisor water control
11-1021,Supervisor waterworks
11-1021,Television station manager
11-1021,Under secretary
11-1021,Water superintendent
11-1021,Zoo director
11-1031,Alderman
11-1031,Assembly member
47-2152,Assemblyman or woman
11-1031,City alderman
11-1031,City council member
11-1031,City councilman
11-1031,Committeeperson
11-1031,Congressional representative
11-1031,Congressman
11-1031,Council member
11-1031,Councilman
11-1031,Delegate
11-1031,Legislator
11-1031,Member
11-1031,Member of congress
11-1031,Representative
11-1031,Selectman
11-1031,Senator
11-1031,State representative
11-1031,Tribal council member
11-1031,Tribal delegate
11-1031,US representative
11-1031,US senator
11-2011,Account executive
11-2011,Advertising director
11-2011,Advertising executive
11-2011,Campaign director
11-2011,Circulation director
11-2011,Manager advertising
11-2011,Manager circulation
11-2011,Manager promotion
11-2011,Media director
11-2011,Promotions director
11-2021,Director of marketing
11-2021,Fashion coordinator
11-2021,Fashion stylist
11-2021,Internet marketing
11-2021,Internet marketing manager
11-2021,Manager marketing
11-2021,Marketing administrator
11-2021,Marketing agent
11-2021,Marketing director
11-2021,Marketing representative
11-2022,Clothier
11-2022,Department store manager
11-2022,Director of sales
11-2022,District sales manager
11-2022,Division head
11-2022,Export manager
11-2022,Liquidator
11-2022,Manager dealership
11-2022,Manager department store
11-2022,Manager district
11-2022,Manager division
11-2022,Manager e-commerce
11-2022,Manager export
11-2022,Manager regional sales
11-2022,Manager sales
11-2022,Manager zone
11-2022,Sales coordinator
11-2022,Sales director
11-2022,Sales executive
11-2030,Coordinator of funding
11-2030,Director of development
11-2030,Director of foundation
11-2030,Director of fundraising
11-2030,Director of information exc computer
11-2030,Director of public affairs
11-2030,Director of public information
11-2030,Director of public relations
11-2030,Director of publicity
11-2030,Donor relations manager
11-2030,Foundation director
11-2030,Funding coordinator
11-2030,Fundraising director
11-2030,Information director
11-2030,Manager communications
11-2030,Manager donor relations
11-2030,Manager fundraising
11-2030,Manager public information relations
11-2030,Manager public relations
11-2030,Manager publicity
11-2030,Proposal development manager
11-2030,Public affairs director
11-2030,Public information director
11-2030,Public relations director
11-2030,Publicity director
11-2030,Supervisor public relations
11-3012,Director of records management
11-3012,Manager administrative services
11-3012,Manager customer service
11-3012,Records and information manager
11-3012,Records management director
11-9030,Registrar college
11-3012,University registrar
11-3013,Conference center manager
11-3013,Director of university housing
11-3013,Maintenance superintendent managerial
11-3013,Manager building exc rental
11-3013,Manager facilities
11-3013,Manager property disposal
11-3013,Manager property utilization
11-3013,Space officer
11-3013,Stadium manager
11-3013,Superintendent maintenance managerial
11-1011,Chief sustainability officer
11-3021,Chief technology officer
11-3021,Chief Technology Officer (CTO)
11-3021,Computer consultant systems management
11-3021,Computing services director
11-3021,Director of application development
11-3021,Director of information computer systems
11-3021,Director of network
11-3021,Enterprise resource planner
11-3021,Information technology planning and policy analyst
11-3021,Information technology systems director
11-3021,Management information systems director
11-3021,Manager computer operations
11-3021,Manager computer programming
11-3021,Manager data processing
11-3021,Manager data systems
11-3021,Manager information systems
11-3021,Manager internet technology
11-3021,Manager network
11-3021,Manager systems development
11-3021,Manager technical services
11-3021,Manager\ ns
11-3021,Scrum master computer
11-3031,Bank advisor
11-3031,Bank branch manager
11-3031,Bank cashier associate degree or higher
11-3031,Bank consultant
11-3031,Bank director
11-3031,Bank president
11-3031,Banker
11-3031,Budget director
11-3031,Cashier bank associate degree or higher
11-3031,Cashier\ ns associate degree or higher
11-3031,City comptroller
11-3031,City controller
11-3031,City treasurer
11-3031,Comptroller
11-3031,Controller\ ns
11-3031,County treasurer
11-3031,Financial director
11-3031,Financial officer
11-3031,Financier
11-3031,Fiscal officer
11-3031,Foreign exchange dealer
11-3031,Manager account
11-3031,Manager accounting
11-3031,Manager actuarial
11-3031,Manager ATM
11-3031,Manager auditing
11-3031,Manager bank
11-3031,Manager billing
11-3031,Manager branch
11-3031,Manager branch of financial institution
11-3031,Manager budget
11-3031,Manager collections
11-3031,Manager credit
11-3031,Manager credit and collection
11-3031,Manager credit department
11-3031,Manager credit office
11-3031,Manager credit union
11-3031,Manager district
11-3031,Manager exchange floor
11-3031,Manager financial
11-3031,Manager financial institution
11-3031,Manager investment
11-3031,Manager loan
11-3031,Manager loan and credit
11-3031,Manager payroll
11-3031,Manager relationship
11-3031,Manager\ ns
11-3031,Owner
11-3031,Paymaster
11-3031,Reserve officer
11-3031,State comptroller
11-3031,Supervisor accountant
11-3031,Supervisor accounts
11-3031,Supervisor auditor
11-3031,Supervisor field\ ns
11-3031,Treasurer
11-3031,Trust officer
11-3111,Benefit director
11-3111,Compensation director
11-3111,Employee benefits director
11-3111,Field advisor
11-3111,Manager benefits
11-3111,Manager compensation
11-3111,Manager employee benefits
11-3111,Manager position classification
11-3111,Salary and wage administrator
11-3111,Wage and salary administrator
11-3121,Committeeperson
11-3121,Director of human resources
11-3121,Director of industrial relations
11-3121,Director of personnel
11-3121,Director of placement
11-3121,Employee wellness fitness coordinator
11-3121,Human resources director
11-3121,Industrial relations director
11-3121,Labor relations director
11-3121,Manager employee relations
11-3121,Manager employment
11-3121,Manager human resources
11-3121,Manager human services
11-3121,Manager industrial relations
11-3121,Manager job analysis
11-3121,Manager labor relations
11-3121,Manager personnel
11-3121,Manager personnel generalist
11-3121,Manager\ ns
11-3121,Personnel director
11-3121,Position description manager
11-3131,Apprenticeship training representative
11-3131,Director of employee development
11-3131,Director of training
11-3131,E learning manager
11-3131,Manager education and training
11-3131,Manager efficiency
11-3131,Manager employee development
11-3131,Manager labor training
11-3131,Manager manpower development specialist
11-3131,Manager training
11-3131,Training director
11-3051,Factory superintendent
11-3051,Manager bulk plant
11-3051,Manager factory
11-3051,Manager industrial production
11-3051,Manager plant
11-3051,Manager production
11-3051,Manager production control
11-3051,Manager quality control
11-3051,Manager sawmill
11-3051,Manufacturer
11-3051,Manufacturing director
11-3051,Plant chief
11-3051,Plant superintendent
11-3051,Production superintendent
11-3051,Superintendent production
11-3051,Supervisor production control managing
11-3051,Supervisor production managing
11-3061,Circuit rider
11-3061,Circuit walker
11-3061,Contract administrator
11-3061,Contract coordinator
11-3061,Contracting manager
11-3061,Director of purchasing cotton grain livestock and other farm products
11-3061,Director of purchasing\ ns
11-3061,Manager contract
11-3061,Manager leasing exc property
11-3061,Manager material
11-3061,Manager merchandise
11-3061,Manager procurement
11-3061,Manager purchasing
11-3061,Merchandise director
11-3061,Merchandise executive
11-3061,Procurement officer
11-3061,Property and supply officer
11-3061,Purchasing director cotton grain livestock other farm products
11-3061,Purchasing director\ ns
11-3061,Purchasing officer
11-3071,Canal superintendent
11-3071,Depot master
11-3071,Distribution center manager
11-3071,Division roadmaster
11-3071,Dock superintendent
11-3071,Dockmaster
11-3071,Engineer division
11-3071,Flight superintendent
11-3071,General agent
11-3071,General freight agent
11-3071,General road foreman
11-3071,Locker operator
11-3071,Logistics supply officer
11-3071,Manager airline
11-3071,Manager airport
11-3071,Manager auto fleet exc maintenance
11-3071,Manager distribution
11-3071,Manager logistics
11-3071,Manager parking garage
11-3071,Manager parking lot
11-3071,Manager passenger service
11-3071,Manager schedule planning
11-3071,Manager station
11-3071,Manager storage
11-3071,Manager substation
11-3071,Manager terminal
11-3071,Manager traffic
11-3071,Manager transportation
11-3071,Manager warehouse
11-3071,Station master
11-3071,Superintendent marine oil terminal
11-3071,Supervisor airline managerial
11-3071,Supervisor bridges
11-3071,Supervisor building
11-3071,Supervisor station
11-3071,Supervisor traffic
11-3071,Supervisor transportation
11-3071,Supply controller
11-3071,Supply officer
11-3071,Supply requirements officer
11-3071,Traffic safety administrator
11-3071,Traffic superintendent
11-3071,Train master
11-3071,Transfer man
11-3071,Trucking contractor
11-3071,Wharf agent
11-3071,Wharf superintendent
11-3071,Wharfinger
11-3071,Wharfmaster
19-1010,Animal husbandman
11-9013,Apiarist
19-1010,Apiculturist
11-9013,Aquaculture farm owner
11-9013,Aquaculturist
11-9013,Arboriculturist
11-9013,Bee breeder
11-9013,Bee raiser
11-9013,Beekeeper
11-9013,Beet raiser
11-9013,Bird raiser
11-9013,Bonsai culturist
11-9013,Bulb grower
11-9013,Canary raiser
11-9013,Cash grain grower
11-9013,Cattle farmer
11-9013,Cattle feeder
11-9013,Cattle rancher
11-9013,Cattleman
11-9013,Chicken raiser
11-9013,Coffee farmer
11-9013,Contractor farm
11-9013,Corn breeder
11-9013,Corn grower
11-9013,Cotton breeder
11-9013,Cotton farmer
11-9013,Cotton grower
11-9013,Cropper
11-9013,Cultivator
11-9013,Dairy farmer
11-9013,Dairy husbandman
11-9013,Dairyman
11-9013,Digger
11-9013,Dog raiser
11-9013,Dwarf tree grower
11-9013,Farm hand
11-9013,Farm operator
11-9013,Farm rancher
11-9013,Farm tenant
45-2090,Farm wife\ ns or any specified activity
11-9013,Farmer any type crop grain or livestock
11-9013,Farmer dairy
11-9013,Farmer dryland
11-9013,Farmer fish frog or oyster
11-9013,Farmer fruit or nut
11-9013,Farmer general or ns
11-9013,Farmer horticultural
11-9013,Farmer landscape
11-9013,Farmer sod
11-9013,Farmer\ ns
11-9013,Farmer\ specified type not listed
11-9013,Farming
11-9013,Farmworker\ ns
11-9013,Fish farmer
11-9013,Fish hatchery manager
11-9013,Flower gardener
11-9013,Flower planter
11-9013,Fox raiser
11-9013,Fruit farmer
11-9013,Fruit grower
11-9013,Fruit raiser
11-9013,Fruit rancher
11-9013,Fur farmer
11-9013,Game bird farmer
37-3011,Gardener
11-9013,Grain farmer
11-9013,Greenhouse florist
11-9013,Hatchery man\ ns
11-9013,Herb grower
11-9013,Hog raiser
11-9013,Horticultural specialty grower
11-9013,Hybrid corn breeder
11-9013,Kennel keeper
11-9013,Landlord
11-9013,Livestock farmer
11-9013,Livestock rancher
11-9013,Manager animal husbandry
11-9013,Manager aquaculture farm
11-9013,Manager dairy
11-9013,Manager dairy farm
11-9013,Manager farm any type crop grain or livestock
11-9013,Manager farm fruit or nut crops
11-9013,Manager farm game breeding
11-9013,Manager farm general or ns
11-9013,Manager farm horticultural
11-9013,Manager field
11-9013,Manager game preserve
11-9013,Manager gin
11-9013,Manager greenhouse
11-9013,Manager hatchery
11-9013,Manager herd
11-9013,Manager horticulturist
11-9013,Manager kennel
11-9013,Manager livestock farm
11-9013,Manager livestock farm
11-9013,Manager nursery
11-9013,Manager pineapple plantation
11-9013,Manager poultry hatchery
11-9013,Manager producer arborist
11-9013,Manager production
11-9013,Manager production seed corn
11-9013,Manager sugar plantation
11-9013,Manager\ ns
11-9013,Milker machine
11-9013,Milking machine operator
11-9013,Mink rancher
11-9013,Muck farmer
11-9013,Mushroom grower
45-2090,Nursery worker
11-9013,Operator COW exc OWN
11-9013,Orchard manager
11-9013,Orchardist
11-9013,Orchid grower
11-9013,Owner
11-9013,Owner
11-9013,Oyster cultivator
11-9013,Oyster farmer
11-9013,Oyster grower
11-9013,Parakeet raiser
    11-9013,Plant care
11-9013,Planter
11-9013,Poultry farmer
11-9013,Poultry husbandman
11-9013,Poultry raiser
11-9013,Poultryman
11-9013,Propagator
11-9013,Ranch hand crop livestock or ns
11-9013,Rat culturist
11-9013,Rat farmer
11-9013,Renter\ ns
11-9013,Reptile farmer
11-9013,Rose grower
11-9013,Seed grower
11-9013,Share cropper
11-9013,Share worker
11-9013,Sheep herder
11-9013,Shellfish grower
11-9013,Stallion keeper
11-9013,Stock raiser
11-9013,Stockman
11-9013,Sugar cane planter
11-9013,Supervisor harvesting
11-9013,Tenant
11-9013,Tenant farmer crop or livestock
11-9013,Tobacco grower
11-9013,Truck gardener
11-9013,Vineyardist
11-9013,Viticulturist
11-9013,Worm farmer
11-9013,Worm grower
11-9021,Brickmason contractor administration or general management
11-9021,Building construction contractor administration or general management
11-9021,Cement contractor  administration or general management
11-9021,Construction contractor administration or general management
11-9021,Construction coordinator
11-9021,Construction superintendent
11-9021,Constructor
11-9021,Contractor administration or general management
11-9021,Contractor construction trades
11-9021,Developer
11-9021,Drywall contractor administration or general management
11-9021,Electrical contractor administration or general management
11-9021,Excavating contractor administration or general management
11-9021,General contractor
11-9021,Home improvement contractor
11-9021,House wrecker
11-9021,Manager construction
11-9021,Manager project
11-9021,Masonry contractor administration or general management
11-9021,Painting contractor administration or general management
11-9021,Paperhanger contractor administration or general management
11-9021,Paving contractor administration or general management
11-9021,Plastering contractor administration or general management
11-9021,Plumbing and heating contractor administration or general management
11-9021,Plumbing contractor administration or general management
11-9021,Road contractor administration or general management
11-9021,Roofing contractor administration or general management
11-9021,Sewer contractor
11-9021,Sheet metal contractor administration or general management
11-9021,Street contractor administration or general management
11-9021,Superintendent construction
11-9021,Superintendent\ ns
11-9021,Supervisor street
11-9021,Wrecker
11-9030,Administrator business
11-9030,Administrator of special education
11-9030,Apprenticeship consultant
11-9030,Apprenticeship representative
11-9030,Assistant principal
11-9030,Athletic director
11-9033,Chair
11-9030,Child care center administrator
11-9030,Child care center director
11-9030,College recruiter
11-9030,Commandant
11-9030,Curriculum director
11-9030,Dean
11-9030,Dean of boys
11-9030,Dean of girls
11-9030,Dean of men
11-9030,Dean of students
11-9030,Dean of women
11-9033,Department chair
11-9030,Department head
11-9030,Director of admissions
27-2022,Director of athletics
11-9030,Director of child care center
11-9030,Director of extension work
11-9030,Director of health education
11-9030,Director of in service education
27-2022,Director of physical education
11-9030,Director of preschool
11-9030,Director of research
11-9030,Director of special services
11-9030,Director of student affairs
11-9030,Director of student financial aid
11-9030,Director of testing
11-9030,Director of veterans affairs
25-4022,Director of visual education
11-9030,Director of vocational training
11-9030,Director\ ns
11-9030,Director\ ns
21-1012,Educational director
11-9030,Extension course coordinator
11-9030,Extension work director
11-9030,Head start director
11-9030,Headmaster
11-9030,Health education director
11-9030,Library director
11-9030,Manager business
11-9030,Manager\ ns
11-9030,Manager\ ns
11-9030,Montessori program director
11-9030,Mother superior
11-9030,Official
11-9030,Owner
11-9030,Preschool director
11-9030,Principal
11-9030,Provost
11-9030,Registrar\ ns
11-9030,Research director
11-9030,School principal
11-9030,Submaster
11-9030,Superintendent special education
11-9030,Superior
11-9030,Supervisor early childhood program
11-9030,Supervisor education
11-9030,Supervisor program
11-9030,Supervisor school
11-9030,Supervisor\ ns
11-9030,Team coordinator
11-9030,Testing director
11-9033,University dean
11-9033,University department chair
11-9030,Vice principal
11-9041,Engineer chief\ ns
11-9041,Engineer management
11-9041,Engineer manufacturing chief
11-9041,Engineering design manager
11-9041,Global engineering manager
11-9041,Manager architectural\ ns
11-9041,Manager engineering
11-9041,Manager research
11-9041,Mechanical engineering director
11-9041,Safety director
11-9041,Superintendent\ ns
11-9041,Technical director
    11-9051,Assistant store manager
11-9051,Attendant\ ns
11-9051,Banquet director
11-9051,Cafe operator
11-9051,Cafeteria director
11-9051,Cafeteria operator
11-9051,Concessionaire
11-9051,Director of food service
11-9051,Luncheonette operator
11-9051,Lunchroom operator
11-9051,Manager banquet
11-9051,Manager catering
11-9051,Manager club
11-9051,Manager food and beverage
11-9051,Manager food production
11-9051,Manager food service
11-9051,Manager restaurant exc fast food
    11-9051,Manager store
11-9051,Manager\ ns
11-9051,Owner
11-9051,Restauranteur
11-9051,Saloonkeeper
11-9051,Tavern keeper
11-9051,Tavern operator
11-9171,Funeral home director
11-9171,Funeral service manager
11-9171,Manager funeral home
11-9171,Manager\ ns
11-9171,Owner
11-9070,Amusement park manager
11-9070,Casino manager
11-9070,Department head
11-9070,Director of entertainment
11-9070,Entertainment director
11-9070,Fitness club manager
11-9070,Gaming department head
11-9070,Manager baccarat
11-9072,Manager billiard parlor
11-9070,Manager bingo
11-9070,Manager blackjack
11-9072,Manager bowling alley
11-9070,Manager cardroom
11-9070,Manager casino
11-9072,Manager concert
11-9070,Manager craps
11-9072,Manager dance studio
11-9070,Manager dice
11-9072,Manager dog races
11-9072,Manager fish and game club
11-9070,Manager gaming
11-9070,Manager golf club
11-9072,Manager gun club
11-9072,Manager horse racetrack
11-9072,Manager horse racing
11-9072,Manager horse show
11-9070,Manager keno
11-9070,Manager lottery
11-9070,Manager off track betting
11-9070,Manager pai gow
11-9070,Manager poker
11-9072,Manager poolroom/poolhall
11-9070,Manager racing
11-9072,Manager racing
11-9070,Manager recreation facility
11-9070,Manager skating rink
11-9070,Manager slot
11-9070,Manager sports betting
11-9072,Manager theater
11-9070,Manager winter sports
11-9070,Manager\ ns
11-9070,Marina club manager
11-9070,Ski resort manager
11-9070,Slot operations director
11-9070,Slots operations director
11-9070,Table games manager
11-9081,Administrator
11-9081,Apartment coordinator
11-9081,Bed and breakfast innkeeper
11-9081,Boardinghouse keeper
11-9081,Camp director
11-9081,Director of housing
11-9081,Director\ ns
11-9081,Hotel man
11-9081,Hotel superintendent
11-9081,Housing director
11-9081,Housing officer
11-9081,Innkeeper
11-9081,Keeper
11-9081,Landlady
11-9081,Manager agricultural labor camp
11-9081,Manager campground
11-9081,Manager dude ranch
11-9081,Manager hotel or motel
11-9081,Manager lodging facilities
11-9081,Manager motor hotel
11-9081,Manager recreational resort
11-9081,Manager resident
11-9081,Manager RV resort
11-9081,Manager\ ns
11-9081,Managing director
11-9081,Motel keeper
11-9081,Motel operator
11-9081,Owner
11-9081,Resort keeper
11-9081,Rooming house keeper
11-9081,Rooming house operator
11-9081,Tourist cabin keeper
11-9081,Tourist home keeper
11-9111,Administrative officer
11-9111,Administrator
11-9111,Business director
11-9111,Chief hospital administrator
11-9111,Chief medical information officer
11-9111,Chief of Staff
11-9111,Clinical director
11-9111,Clinical informatics director
11-9111,Director of administration
11-9111,Director of clinic
11-9111,Director of clinical services
11-9111,Director of correctional therapy
11-9111,Director of health services
11-9111,Director of medical
11-9111,Director of nurses
11-9111,Director of nursing service
11-9111,Director of occupational therapy
11-9111,Director of physical therapy
11-9111,Director of recreation therapy
11-9111,Director of research
11-9111,Director of respiratory therapy
11-9111,Director of speech and hearing therapy
11-9111,Director of volunteer services
11-9111,Director\ ns
11-9111,Emergency medical service coordinator
11-9111,First aid director
11-9111,Health administrator
11-9111,Health care administrator
11-9111,Health director
11-9111,Health information services manager
11-9111,Hospice administrator
11-9111,Hospice director
11-9111,Hospice plan administrator
11-9111,Hospice superintendent
11-9111,Hospital administrator
11-9111,Hospital director
11-9111,Hospital plan administrator
11-9111,Hospital superintendent
11-9111,In service coordinator
11-9111,In service educator
11-9111,Laboratory director
11-9111,Long term care administrator
11-9111,Manager dental laboratory
11-9111,Manager emergency medical service
11-9111,Manager hospital
11-9111,Manager laboratory
11-9111,Manager medicine and health service
11-9111,Manager nursing services
11-9111,Manager\ ns
11-9111,Medical care administrator
11-9111,Medical director
11-9111,Medical officer
11-9111,Medical record administrator
11-9111,Medical records administrator
11-9111,Mental health program manager
11-9111,Morgue keeper
11-9111,Nurse administrator
11-9111,Nursing administrator
11-9111,Nursing service administrator
11-9111,Nursing service director
11-9111,Occupational therapy director
11-9111,Operator COW exc OWN
11-9111,Patient relations director
11-9111,Program director
11-9111,Public health administrator
11-9111,Quarantine officer
11-9111,Research director
11-9111,Respiratory therapy director
11-9111,Superintendent nurses
11-9111,Superintendent\ ns
11-9111,Supervisor department
11-9111,Supervisor hospital
11-9111,Supervisor medical
11-9111,Venereal disease control head
11-9111,Volunteer services director
11-9121,Agriculture research director
11-9121,Director of research
11-9121,Director of research and development
11-9121,Laboratory director
11-9121,Manager geochemical
11-9121,Manager geological
11-9121,Manager geophysical
11-9121,Manager gravity
11-9121,Manager research
11-9121,Manager wild life
11-9121,Ocean program administrator
11-9121,Research development director
11-9121,Research director
11-9131,Manager branch
11-9131,Manager station
11-9131,Manager\ ns
11-9131,Postmaster
11-9131,Station superintendent
11-9131,Superintendent mail
11-9131,Superintendent postal
11-9131,Superintendent\ ns
11-9131,Supervisor postal
11-9141,Airbnb host
11-9141,Building custodian managing supervising renting
11-9141,Building superintendent managing supervising renting
11-9141,Developer
11-9141,Director of housing
11-9141,Freeholder
11-9141,Housing director
11-9141,Housing relocator
11-9141,Land agent
11-9141,Land commissioner
11-9141,Landlady
11-9141,Landlord
11-9141,Landman
11-9141,Lease buyer
11-9141,Leaser
11-9141,Location man
11-9141,Manager apartment
11-9141,Manager apartment hotel
11-9141,Manager apartment house
11-9141,Manager building rental
11-9141,Manager cemetery
11-9141,Manager community association
11-9141,Manager condominium association
11-9141,Manager cooperative
11-9141,Manager district
11-9141,Manager homeowner association
11-9141,Manager housing
11-9141,Manager land acquisition
11-9141,Manager land lease and rental
11-9141,Manager leasing property
11-9141,Manager mobile home park
11-9141,Manager office real estate
11-9141,Manager property
11-9141,Manager public housing
11-9141,Manager real estate
11-9141,Manager rent control office
11-9141,Manager rental
11-9141,Manager resident
11-9141,Manager trailer park
11-9141,Manager\ ns
11-9141,Market master
11-9141,Market superintendent
11-9141,Oil agent
11-9141,Oil lease buyer
11-9141,Oil lease operator
11-9141,Owner
11-9141,Property administrator
11-9141,Property supervisor
11-9141,Real estate administrator
11-9141,Superintendent building rental
11-9141,Superintendent renting managing
11-9141,Superintendent\ ns
11-9141,Supervisor right of way exc maintenance
11-9141,Supervisor\ ns
11-9141,Trustee
11-9151,Borough coordinator
11-9151,Bureau director
11-9151,Child welfare director
11-9151,Community center director
11-9151,Coordinator of volunteer services
11-9151,County or county office director
11-9151,Department director
11-9151,Director of casework
11-9151,Director of casework department
11-9151,Director of casework services
11-9151,Director of community center
11-9151,Director of community organization
11-9151,Director of district office
11-9151,Director of family service center
11-9151,Director of field coordination
11-9151,Director of field service
11-9151,Director of group counseling program
11-9151,Director of neighborhood service center
11-9151,Director of public welfare
11-9151,Director of scout work
11-9151,Director of social services
11-9151,Director of teenage activities
11-9151,Director of veterans affairs
11-9151,Director of volunteer services
11-9151,Director of welfare
11-9151,Director\ ns
11-9151,District leader
11-9151,District or district office director
11-9151,Division chief
11-9151,Division commander
11-9151,Division director
11-9151,Field administrator
11-9151,Field director
11-9151,Field representative
11-9151,Home service director
11-9151,Manager club
11-9151,Manager counseling services
11-9151,Manager district office
11-9151,Manager division
11-9151,Manager social services
11-9151,Manager volunteer services
11-9151,Manager welfare
11-9151,Manager\ ns
11-9151,Membership director
11-9151,Owner
11-9151,Parole director
11-9151,Program director
11-9151,Public welfare director
11-9151,Scout executive
11-9151,Social service director
11-9151,Social work administrator
11-9151,Student activities director
11-9151,Supervisor department
11-9151,Teenage program director
11-9151,Welfare administrator
11-9151,Welfare director
11-9151,Welfare officer
11-9151,Youth program director
11-9161,Director of civil defense
11-9161,Director of public safety
11-9161,Disaster response director
11-9161,Emergency management director
11-9161,Emergency management specialist
11-9161,Emergency preparedness coordinator
11-9161,Public safety director
11-9179,Barber shop manager
33-3012,Beauty salon manager
11-9179,Day spa director
11-9179,Manager aesthetics business 
11-9179,Manager barber shop
11-9179,Manager beauty shop
11-9179,Manager cat grooming salon 
11-9179,Manager dog grooming salon
53-7064,Manager dog training center
11-9179,Manager doggie day care manager
11-9179,Manager esthetics business
11-9179,Manager kennel boarding
11-9179,Manager massage business 
11-9179,Manager microblading salon 
11-9179,Manager pet boarding 
11-9179,Manager pet daycare 
11-9179,Manager pet hotel 
11-9179,Manager shop
11-9179,Manager spa
11-9179,Manager\ ns
11-9179,Nail salon manager
11-9179,Owner
11-9179,Owner
11-9179,Owner
11-9179,Owner
11-9179,Owner
11-9179,Owner microblading salon
11-9179,Travel agency manager
11-9199,Agent\ ns
11-9199,Association executive
11-9199,Attache
11-9199,Branch chief
11-9199,Chancery clerk
11-9199,Chief clerk\ ns
11-9199,City clerk
11-9199,City official
11-9199,City recorder
11-9199,Clerk of court
11-9199,Commercial attache
11-9199,Consul
11-9199,Coordinator\ any not listed
11-9199,Corporation secretary
11-9199,County clerk
11-9199,County official
11-9199,County recorder
11-9199,Deputy
11-9199,Diplomat
11-9199,Director of consumer affairs
11-9199,Director of professional services
11-9199,Director of publication
11-9199,Director of research
11-9199,Director of research and development
11-9199,Division chief
11-9199,Environmental control administrator
11-9199,Field director
11-9199,Foreign service officer
11-9199,Import/export agent
11-9199,Leaser
11-9199,Management trainee
11-9199,Manager auto repair shop
11-9199,Manager body shop
11-9199,Manager branch office
11-9199,Manager department\ ns or other specified departments
11-9199,Manager division
11-9199,Manager gas well drilling
11-9199,Manager group
11-9199,Manager house
11-9199,Manager laboratory
11-9199,Manager loss prevention district
11-9199,Manager mining
11-9199,Manager modeling agency
11-9199,Manager oil well drilling
11-9199,Manager program
11-9199,Manager quarrying
11-9199,Manager research and development
11-9199,Manager safety
11-9199,Manager shift
11-9199,Manager station
11-9199,Manager telegraph office
11-9199,Manager transcription
11-9199,Manager utilities
11-9199,Manager\ ns
11-9199,Manager\ ns
33-1099,Manager\ ns
11-9199,Mannequin maker
11-9199,Manufacturer
11-9199,Official
11-9199,Operations coordinator
11-9199,Owner
11-9199,Plant assigner
11-9199,Portfolio manager
11-9199,Printer and editor
11-9199,Printer and publisher
11-9199,Printer and stationer
11-9199,Publication director
11-9199,Publisher
11-9199,Receiver\ ns
11-9199,Recorder
11-9199,Recorder of deeds
