O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
15-1151.00,Computer User Support Specialists,Apache Pig,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Apache Solr,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Apache Struts,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Apache Subversion SVN,43232203,File versioning software,Y
15-1151.00,Computer User Support Specialists,Apache Tomcat,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Apple Final Cut Pro,43232103,Video creation and editing software,N
15-1151.00,Computer User Support Specialists,Apple macOS,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Atlassian Bamboo,43232403,Enterprise application integration software,Y
15-1151.00,Computer User Support Specialists,Atlassian JIRA,43232201,Content workflow software,Y
15-1151.00,Computer User Support Specialists,Autodesk AutoCAD,43232604,Computer aided design CAD software,Y
15-1151.00,Computer User Support Specialists,Autodesk Revit,43232604,Computer aided design CAD software,Y
15-1151.00,Computer User Support Specialists,Automated installation software,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Bash,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Bentley MicroStation,43232604,Computer aided design CAD software,Y
15-1151.00,Computer User Support Specialists,Blackboard,43232306,Data base user interface and query software,N
15-1151.00,Computer User Support Specialists,C,43232402,Development environment software,N
15-1151.00,Computer User Support Specialists,C#,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,C++,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,CA Erwin Data Modeler,43232310,Metadata management software,N
15-1151.00,Computer User Support Specialists,Calendar and scheduling software,43232108,Calendar and scheduling software,N
15-1151.00,Computer User Support Specialists,Call center software,43231501,Helpdesk or call center software,N
15-1151.00,Computer User Support Specialists,Cascading Style Sheets CSS,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Chef,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Cisco Systems IOS,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Citrix,43232901,Access software,Y
15-1151.00,Computer User Support Specialists,Common business oriented language COBOL,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Configuration management software,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Confluence,43231507,Project management software,Y
15-1151.00,Computer User Support Specialists,CrossTec NetOp Remote Control,43232702,Desktop communications software,N
15-1151.00,Computer User Support Specialists,Customer information control system CICS,43232313,Transaction server software,N
15-1151.00,Computer User Support Specialists,Dartware InterMapper,43232801,Network monitoring software,N
15-1151.00,Computer User Support Specialists,Dassault Systemes CATIA,43232604,Computer aided design CAD software,Y
15-1151.00,Computer User Support Specialists,Dassault Systemes SOLIDWORKS,43232604,Computer aided design CAD software,Y
15-1151.00,Computer User Support Specialists,Data entry software,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Defect tracking software,43232406,Program testing software,N
15-1151.00,Computer User Support Specialists,Delphi Technology,43231604,Financial analysis software,N
15-1151.00,Computer User Support Specialists,Deployment software,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Desktop partitioning software,43233001,Filesystem software,N
15-1151.00,Computer User Support Specialists,Disaster recovery software,43233415,Backup or archival software,N
15-1151.00,Computer User Support Specialists,Django,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Docker,43232701,Application server software,Y
15-1151.00,Computer User Support Specialists,Domain name system DNS,43232704,Internet directory services software,N
15-1151.00,Computer User Support Specialists,Drupal,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Dynamic hypertext markup language DHTML,43232408,Web platform development software,N
15-1151.00,Computer User Support Specialists,Eclipse IDE,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Elasticsearch,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Element management software,43232804,Administration software,N
15-1151.00,Computer User Support Specialists,Encryption software,43233205,Transaction security and virus protection software,N
15-1151.00,Computer User Support Specialists,Enterprise JavaBeans,43232408,Web platform development software,N
15-1151.00,Computer User Support Specialists,Enterprise resource planning ERP software,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Epic Systems,43232610,Medical software,Y
15-1151.00,Computer User Support Specialists,ESRI ArcGIS software,43233506,Map creation software,Y
15-1151.00,Computer User Support Specialists,Event log monitor software,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Ext JS,43232408,Web platform development software,N
15-1151.00,Computer User Support Specialists,Extensible HyperText Markup Language XHTML,43232408,Web platform development software,N
15-1151.00,Computer User Support Specialists,Extensible markup language XML,43232403,Enterprise application integration software,Y
15-1151.00,Computer User Support Specialists,Facebook,43232107,Web page creation and editing software,Y
15-1151.00,Computer User Support Specialists,FileMaker Pro,43232306,Data base user interface and query software,N
15-1151.00,Computer User Support Specialists,Fund accounting software,43231601,Accounting software,N
15-1151.00,Computer User Support Specialists,Geographic information system GIS software,43233506,Map creation software,Y
15-1151.00,Computer User Support Specialists,Git,43232203,File versioning software,Y
15-1151.00,Computer User Support Specialists,GitHub,43232701,Application server software,Y
15-1151.00,Computer User Support Specialists,Google Docs,43232104,Word processing software,Y
15-1151.00,Computer User Support Specialists,Google Drive,43231513,Office suite software,Y
15-1151.00,Computer User Support Specialists,Help desk software,43231501,Helpdesk or call center software,N
15-1151.00,Computer User Support Specialists,Hewlett Packard HP-UX,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Hewlett Packard LoadRunner,43232406,Program testing software,N
15-1151.00,Computer User Support Specialists,Hibernate ORM,43232311,Object oriented data base management software,N
15-1151.00,Computer User Support Specialists,Human resource management software HRMS,43231505,Human resources software,N
15-1151.00,Computer User Support Specialists,Hypertext markup language HTML,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,IBM Cognos Impromptu,43232314,Business intelligence and data analysis software,Y
15-1151.00,Computer User Support Specialists,IBM Domino,43232902,Communications server software,N
15-1151.00,Computer User Support Specialists,IBM InfoSphere DataStage,43232403,Enterprise application integration software,N
15-1151.00,Computer User Support Specialists,IBM Notes,43233501,Electronic mail software,Y
15-1151.00,Computer User Support Specialists,IBM Power Systems software,43233701,Enterprise system management software,N
15-1151.00,Computer User Support Specialists,IBM WebSphere,43232403,Enterprise application integration software,Y
15-1151.00,Computer User Support Specialists,Information systems integration software,43232309,Information retrieval or search software,N
15-1151.00,Computer User Support Specialists,Integrated development environment IDE software,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Internet browser software,43232705,Internet browser software,N
15-1151.00,Computer User Support Specialists,iPro,43232306,Data base user interface and query software,N
15-1151.00,Computer User Support Specialists,JavaScript,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,JavaScript Object Notation JSON,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Job control language JCL,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,jQuery,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,JUnit,43232406,Program testing software,Y
15-1151.00,Computer User Support Specialists,KornShell,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,LAMP Stack,43232408,Web platform development software,N
15-1151.00,Computer User Support Specialists,LexisNexis,43232309,Information retrieval or search software,N
15-1151.00,Computer User Support Specialists,License management software,43231512,License management software,N
15-1151.00,Computer User Support Specialists,Linux,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Lucid IQ,43232306,Data base user interface and query software,N
15-1151.00,Computer User Support Specialists,Mac HelpMate,43232901,Access software,N
15-1151.00,Computer User Support Specialists,Marketo Marketing Automation,43231514,Sales and marketing software,Y
15-1151.00,Computer User Support Specialists,McAfee,43233205,Transaction security and virus protection software,N
15-1151.00,Computer User Support Specialists,Media storage management software,43232907,Storage networking software,N
15-1151.00,Computer User Support Specialists,MEDITECH software,43232610,Medical software,Y
15-1151.00,Computer User Support Specialists,Microsoft .NET Framework,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Access,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Microsoft Active Server Pages ASP,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Microsoft ActiveX,43232405,Object or component oriented development software,N
15-1151.00,Computer User Support Specialists,Microsoft ASP.NET,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Microsoft ASP.NET Core MVC,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Microsoft Azure,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Microsoft Excel,43232110,Spreadsheet software,Y
15-1151.00,Computer User Support Specialists,Microsoft Exchange Server,43233501,Electronic mail software,Y
15-1151.00,Computer User Support Specialists,Microsoft Office,43231513,Office suite software,Y
15-1151.00,Computer User Support Specialists,Microsoft Outlook,43233501,Electronic mail software,Y
15-1151.00,Computer User Support Specialists,Microsoft PowerPoint,43232106,Presentation software,Y
15-1151.00,Computer User Support Specialists,Microsoft PowerShell,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Project,43231507,Project management software,Y
15-1151.00,Computer User Support Specialists,Microsoft Publisher,43232112,Desktop publishing software,N
15-1151.00,Computer User Support Specialists,Microsoft SharePoint,43231507,Project management software,Y
15-1151.00,Computer User Support Specialists,Microsoft SQL Server,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Microsoft SQL Server Integration Services SSIS,43232403,Enterprise application integration software,Y
15-1151.00,Computer User Support Specialists,Microsoft SQL Server Reporting Services,43232305,Data base reporting software,Y
15-1151.00,Computer User Support Specialists,Microsoft Visio,43232102,Graphics or photo imaging software,Y
15-1151.00,Computer User Support Specialists,Microsoft Visual Basic,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Visual Basic for Applications VBA,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Visual Basic Scripting Edition VBScript,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Visual Studio,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Microsoft Volume Shadow Copy Service,43233415,Backup or archival software,N
15-1151.00,Computer User Support Specialists,Microsoft Windows,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Microsoft Windows Pre-installation Environment,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Microsoft Windows Server,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Microsoft Word,43232104,Word processing software,Y
15-1151.00,Computer User Support Specialists,MicroStrategy,43232314,Business intelligence and data analysis software,Y
15-1151.00,Computer User Support Specialists,Migration software,43232915,Platform interconnectivity software,N
15-1151.00,Computer User Support Specialists,MongoDB,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,MySQL,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Nagios,43232801,Network monitoring software,Y
15-1151.00,Computer User Support Specialists,National Instruments LabVIEW,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,NetSuite ERP,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Network directory services software,43232704,Internet directory services software,N
15-1151.00,Computer User Support Specialists,Node.js,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,NoSQL,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Objective C,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,Operating system monitoring software,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis software,Y
15-1151.00,Computer User Support Specialists,Oracle E-Business Suite Financials,43231604,Financial analysis software,N
15-1151.00,Computer User Support Specialists,Oracle Fusion Applications,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Oracle Fusion Middleware,43232403,Enterprise application integration software,Y
15-1151.00,Computer User Support Specialists,Oracle Hyperion,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Oracle Java,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,Oracle JavaServer Pages JSP,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Oracle JD Edwards EnterpriseOne,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Oracle JDBC,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Oracle PeopleSoft,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,Oracle PL/SQL,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Oracle Primavera Enterprise Project Portfolio Management,43231507,Project management software,Y
15-1151.00,Computer User Support Specialists,Oracle software,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Oracle Solaris,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Oracle Taleo,43231505,Human resources software,Y
15-1151.00,Computer User Support Specialists,Oracle WebLogic Server,43232701,Application server software,Y
15-1151.00,Computer User Support Specialists,Password management software,43233201,Authentication server software,N
15-1151.00,Computer User Support Specialists,Patch management software,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Perforce Helix software,43232401,Configuration management software,N
15-1151.00,Computer User Support Specialists,Personal computer diagnostic software,43232406,Program testing software,N
15-1151.00,Computer User Support Specialists,PHP: Hypertext Preprocessor,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,PostgreSQL,43232311,Object oriented data base management software,Y
15-1151.00,Computer User Support Specialists,Practical extraction and reporting language Perl,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,Puppet,43232401,Configuration management software,Y
15-1151.00,Computer User Support Specialists,Python,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,Qlik Tech QlikView,43232314,Business intelligence and data analysis software,Y
15-1151.00,Computer User Support Specialists,Red Hat Enterprise Linux,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Red Hat WildFly,43232701,Application server software,Y
15-1151.00,Computer User Support Specialists,Relational database management software,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,Remote control software,43232702,Desktop communications software,N
15-1151.00,Computer User Support Specialists,Remote install server software,43233002,Network operation system software,N
15-1151.00,Computer User Support Specialists,Ruby,43232402,Development environment software,Y
15-1151.00,Computer User Support Specialists,Ruby on Rails,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Sage 50 Accounting,43231601,Accounting software,N
15-1151.00,Computer User Support Specialists,Salesforce software,43232303,Customer relationship management CRM software,Y
15-1151.00,Computer User Support Specialists,Salesforce Visualforce,43232404,Graphical user interface development software,Y
15-1151.00,Computer User Support Specialists,SAP,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,SAP Business Objects,43231602,Enterprise resource planning ERP software,Y
15-1151.00,Computer User Support Specialists,SAP Crystal Reports,43232305,Data base reporting software,Y
15-1151.00,Computer User Support Specialists,SAS,43232605,Analytical or scientific software,Y
15-1151.00,Computer User Support Specialists,Shell script,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,SmugMug Flickr,43232102,Graphics or photo imaging software,Y
15-1151.00,Computer User Support Specialists,Software asset management SAM software,43232306,Data base user interface and query software,N
15-1151.00,Computer User Support Specialists,SolarWinds,43232804,Administration software,N
15-1151.00,Computer User Support Specialists,Splunk Enterprise,43233701,Enterprise system management software,Y
15-1151.00,Computer User Support Specialists,Spring Boot,43232701,Application server software,Y
15-1151.00,Computer User Support Specialists,Spring Framework,43232408,Web platform development software,Y
15-1151.00,Computer User Support Specialists,Stac Software ReachOut,43232702,Desktop communications software,N
15-1151.00,Computer User Support Specialists,StataCorp Stata,43232605,Analytical or scientific software,N
15-1151.00,Computer User Support Specialists,Structured query language SQL,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Supervisory control and data acquisition SCADA software,43232608,Industrial control software,Y
15-1151.00,Computer User Support Specialists,Swift,43232405,Object or component oriented development software,Y
15-1151.00,Computer User Support Specialists,Symantec,43233205,Transaction security and virus protection software,Y
15-1151.00,Computer User Support Specialists,Symantec LiveState,43233415,Backup or archival software,N
15-1151.00,Computer User Support Specialists,Symantec Norton Utilities,43233001,Filesystem software,N
15-1151.00,Computer User Support Specialists,Symantec pcAnywhere,43232702,Desktop communications software,N
15-1151.00,Computer User Support Specialists,Tableau,43232314,Business intelligence and data analysis software,Y
15-1151.00,Computer User Support Specialists,Tax software,43231601,Accounting software,N
15-1151.00,Computer User Support Specialists,Teradata Database,43232304,Data base management system software,Y
15-1151.00,Computer User Support Specialists,The MathWorks MATLAB,43232605,Analytical or scientific software,Y
15-1151.00,Computer User Support Specialists,Transact-SQL,43232306,Data base user interface and query software,Y
15-1151.00,Computer User Support Specialists,Trimble SketchUp Pro,43232102,Graphics or photo imaging software,Y
15-1151.00,Computer User Support Specialists,Ubuntu,43233004,Operating system software,N
15-1151.00,Computer User Support Specialists,Unified modeling language UML,43232407,Requirements analysis and system architecture software,Y
15-1151.00,Computer User Support Specialists,UNIX,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,UNIX Shell,43233004,Operating system software,Y
15-1151.00,Computer User Support Specialists,Veritas NetBackup,43233415,Backup or archival software,N
15-1151.00,Computer User Support Specialists,Virtual private networking VPN software,43233203,Network security or virtual private network VPN management software,Y
15-1151.00,Computer User Support Specialists,Virus scanning software,43233205,Transaction security and virus protection software,N
15-1151.00,Computer User Support Specialists,VMWare,43232401,Configuration management software,Y
15-1151.00,Computer User Support Specialists,Voice over internet protocol VoiP system software,43232805,Internet protocol IP multimedia subsystem software,Y
15-1151.00,Computer User Support Specialists,Wireshark,43232801,Network monitoring software,Y
15-1151.00,Computer User Support Specialists,Yardi,43232306,Data base user interface and query software,Y
15-1152.00,Computer Network Support Specialists,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
15-1152.00,Computer Network Support Specialists,Adobe Systems Adobe Flash,43232102,Graphics or photo imaging software,N
15-1152.00,Computer Network Support Specialists,Anti-spyware software,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Antivirus software,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Apache Tomcat,43232408,Web platform development software,Y
15-1152.00,Computer Network Support Specialists,Apple macOS,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Application management software,43232401,Configuration management software,N
15-1152.00,Computer Network Support Specialists,Arping,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Automated installation software,43232401,Configuration management software,N
15-1152.00,Computer Network Support Specialists,B&W Port Scanner,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Bash,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Bentley ProjectWise,43231507,Project management software,N
15-1152.00,Computer Network Support Specialists,BitWizard B.V. mtr,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,BlackBerry Enterprise Server,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,BMC Software Control-M,43232403,Enterprise application integration software,N
15-1152.00,Computer Network Support Specialists,BMC Software Remedy IT Service Management Suite,43231501,Helpdesk or call center software,N
15-1152.00,Computer Network Support Specialists,Cisco Systems Cisco NetFlow Collection Engine,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Cisco Systems Cisco Traffic Analyzer,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Cisco Systems CiscoWorks,43232804,Administration software,N
15-1152.00,Computer Network Support Specialists,Cisco Systems CiscoWorks LAN Management Solution,43232804,Administration software,N
15-1152.00,Computer Network Support Specialists,Citrix,43232901,Access software,Y
15-1152.00,Computer Network Support Specialists,Clarified Networks Clarified Analyzer,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Colasoft Capsa Enterprise,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Colasoft Capsa Free,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Compuware ClientVantage Agentless Monitoring,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Congruity Technologies Inspector,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Connectivity software,43232915,Platform interconnectivity software,N
15-1152.00,Computer Network Support Specialists,Customer information control system CICS,43232313,Transaction server software,N
15-1152.00,Computer Network Support Specialists,Customer relationship management CRM software,43232303,Customer relationship management CRM software,N
15-1152.00,Computer Network Support Specialists,Dartware InterMapper,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Data entry software,43232306,Data base user interface and query software,Y
15-1152.00,Computer Network Support Specialists,Database management software,43232304,Data base management system software,N
15-1152.00,Computer Network Support Specialists,Dig,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,EMC Ionix Network Configuration Manager,43232401,Configuration management software,N
15-1152.00,Computer Network Support Specialists,EMC NetWorker,43233415,Backup or archival software,N
15-1152.00,Computer Network Support Specialists,EMC Symmetrix DMX,43232907,Storage networking software,N
15-1152.00,Computer Network Support Specialists,Encryption software,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Ethereal,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Ettercap NG,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,File server software,43233001,Filesystem software,N
15-1152.00,Computer Network Support Specialists,Firewall software,43233204,Network security and virtual private network VPN equipment software,N
15-1152.00,Computer Network Support Specialists,Fluke Networks Enterprise LANMeter,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Hewlett Packard HP-UX,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,Hewlett-Packard HP Network Node Manager,43232804,Administration software,N
15-1152.00,Computer Network Support Specialists,IBM AIX,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,IBM Domino,43232902,Communications server software,N
15-1152.00,Computer Network Support Specialists,IBM Notes,43233501,Electronic mail software,Y
15-1152.00,Computer Network Support Specialists,IBM Power Systems software,43233701,Enterprise system management software,N
15-1152.00,Computer Network Support Specialists,IBM Security Network Intrusion Prevention System,43233203,Network security or virtual private network VPN management software,N
15-1152.00,Computer Network Support Specialists,IBM Tivoli NetView Distribution Manager,43233001,Filesystem software,N
15-1152.00,Computer Network Support Specialists,IBM Websphere,43232403,Enterprise application integration software,Y
15-1152.00,Computer Network Support Specialists,ifconfig,43232804,Administration software,N
15-1152.00,Computer Network Support Specialists,Intrusion prevention system IPS,43233203,Network security or virtual private network VPN management software,N
15-1152.00,Computer Network Support Specialists,ipconfig,43232804,Administration software,N
15-1152.00,Computer Network Support Specialists,Job control language JCL,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,KornShell,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,LAMP Stack,43232408,Web platform development software,N
15-1152.00,Computer Network Support Specialists,Linux,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Load testing software,43232406,Program testing software,N
15-1152.00,Computer Network Support Specialists,LogMatrix NerveCenter,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,McAfee,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Microsoft Access,43232306,Data base user interface and query software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Active Directory,43232704,Internet directory services software,N
15-1152.00,Computer Network Support Specialists,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Excel,43232110,Spreadsheet software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Exchange Server,43233501,Electronic mail software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Hyper-V Server,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,Microsoft Internet Information Services IIS,43232313,Transaction server software,N
15-1152.00,Computer Network Support Specialists,Microsoft Network Monitor,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Microsoft Office,43231513,Office suite software,Y
15-1152.00,Computer Network Support Specialists,Microsoft PowerPoint,43232106,Presentation software,Y
15-1152.00,Computer Network Support Specialists,Microsoft PowerShell,43232402,Development environment software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Project,43231507,Project management software,Y
15-1152.00,Computer Network Support Specialists,Microsoft SharePoint,43231507,Project management software,Y
15-1152.00,Computer Network Support Specialists,Microsoft SQL Server,43232306,Data base user interface and query software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Visual Basic,43232402,Development environment software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Visual Basic Scripting Edition VBScript,43232402,Development environment software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Windows,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Windows PowerShell,43233004,Operating system software,N
15-1152.00,Computer Network Support Specialists,Microsoft Windows Server,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Microsoft Windows Sysprep,43232401,Configuration management software,N
15-1152.00,Computer Network Support Specialists,Microsoft Word,43232104,Word processing software,Y
15-1152.00,Computer Network Support Specialists,MySQL,43232304,Data base management system software,Y
15-1152.00,Computer Network Support Specialists,Nagios,43232801,Network monitoring software,Y
15-1152.00,Computer Network Support Specialists,nbtstat,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,NetScout Sniffer Global Analyzer,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,NetScout Sniffer Portable Professional Analyzer,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,netstat,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Network and system vulnerability assessment software,43233203,Network security or virtual private network VPN management software,N
15-1152.00,Computer Network Support Specialists,Network design software,43232604,Computer aided design CAD software,Y
15-1152.00,Computer Network Support Specialists,Network Instruments Observer Standard,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Network intrusion detection software,43233204,Network security and virtual private network VPN equipment software,N
15-1152.00,Computer Network Support Specialists,Network monitoring software,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,ngrep,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,NIKSUN NetDetector,43233203,Network security or virtual private network VPN management software,N
15-1152.00,Computer Network Support Specialists,NovaStor NovaBACKUP,43233415,Backup or archival software,N
15-1152.00,Computer Network Support Specialists,Novell eDirectory,43232704,Internet directory services software,N
15-1152.00,Computer Network Support Specialists,Nslookup,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,OPNET SP Sentinel,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Oracle Java,43232405,Object or component oriented development software,Y
15-1152.00,Computer Network Support Specialists,Oracle Solaris,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Oracle Solaris Snoop,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Packet analyzers,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Packet filter software,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Patch and update management software,43232401,Configuration management software,N
15-1152.00,Computer Network Support Specialists,Ping Identity,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Port scanners,43232801,Network monitoring software,N
15-1152.00,Computer Network Support Specialists,Practical extraction and reporting language Perl,43232405,Object or component oriented development software,Y
15-1152.00,Computer Network Support Specialists,Project planning software,43231507,Project management software,N
15-1152.00,Computer Network Support Specialists,Python,43232405,Object or component oriented development software,Y
15-1152.00,Computer Network Support Specialists,Red Hat Enterprise Linux,43233004,Operating system software,Y
15-1152.00,Computer Network Support Specialists,Remote control software,43232702,Desktop communications software,N
15-1152.00,Computer Network Support Specialists,Root kit detection software,43233205,Transaction security and virus protection software,N
15-1152.00,Computer Network Support Specialists,Route,43232801,Network monitoring software,N
