O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1021.00,General and Operations Managers,CNC Mastercam,43232612,Computer aided manufacturing CAM software,N
11-1021.00,General and Operations Managers,Computer aided manufacturing CAM software,43232612,Computer aided manufacturing CAM software,N
11-1021.00,General and Operations Managers,Confluence,43231507,Project management software,Y
11-1021.00,General and Operations Managers,Customer information control system CICS,43232313,Transaction server software,N
11-1021.00,General and Operations Managers,Data entry software,43232306,Data base user interface and query software,Y
11-1021.00,General and Operations Managers,Datawatch Monarch,43232307,Data mining software,N
11-1021.00,General and Operations Managers,Deacom ERP,43231602,Enterprise resource planning ERP software,Y
11-1021.00,General and Operations Managers,Delphi Technology,43231604,Financial analysis software,N
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,43232610,Medical software,N
11-1021.00,General and Operations Managers,Extensible markup language XML,43232403,Enterprise application integration software,Y
11-1021.00,General and Operations Managers,Facebook,43232107,Web page creation and editing software,Y
11-1021.00,General and Operations Managers,FileMaker Pro,43232306,Data base user interface and query software,N
11-1021.00,General and Operations Managers,Fund accounting software,43231601,Accounting software,N
11-1021.00,General and Operations Managers,Geographic information system GIS software,43233506,Map creation software,Y
11-1021.00,General and Operations Managers,Google AdWords,43231514,Sales and marketing software,Y
11-1021.00,General and Operations Managers,Google Analytics,43232307,Data mining software,Y
11-1021.00,General and Operations Managers,Google Docs,43232104,Word processing software,Y
11-1021.00,General and Operations Managers,Google Drive,43231513,Office suite software,Y
11-1021.00,General and Operations Managers,HEAT Software GoldMine,43232303,Customer relationship management CRM software,N
11-1021.00,General and Operations Managers,Human resource management software HRMS,43231505,Human resources software,N
11-1021.00,General and Operations Managers,Human resources software,43231505,Human resources software,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,43232314,Business intelligence and data analysis software,Y
11-1021.00,General and Operations Managers,IBM Domino,43232902,Communications server software,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,43232403,Enterprise application integration software,N
